length,sp_code,genus,species,log_length,body_mass_predicted
167,4519,Gymnarchus,niloticus,2.222716471,4.142364811
8,4521,Gambusia,holbrooki,0.903089987,1.216265095
70,4530,Hepsetus,odoe,1.84509804,3.460403555
58,4533,Hypophthalmus,edentatus,1.763427994,3.285731893
250,4535,Electrophorus,electricus,2.397940009,4.667380422
70,4583,Liza,ramada,1.84509804,3.47442309
102,4589,Lateolabrax,japonicus,2.008600172,3.930855617
122,4602,Mylopharyngodon,piceus,2.086359831,4.130776163
125,4604,Acipenser,ruthenus,2.096910013,3.963102486
60,4605,Thymallus,thymallus,1.77815125,3.269040786
560,4633,Huso,dauricus,2.748188027,5.63806489
47,4636,Labeo,niloticus,1.672097858,3.180200591
115,4638,Esox,reichertii,2.06069784,3.911517294
50,4639,Perca,schrenkii,1.698970004,3.231292686
52,4644,Tor,tor,1.716003344,3.209195825
35,4646,Coregonus,pollan,1.544068044,2.738734809
30,4647,Johnius,carutta,1.477121255,2.591894792
14,4648,Brycinus,sadleri,1.146128036,1.809438358
4,4653,Danio,rerio,0.602059991,0.424076067
14,4661,Phoxinus,phoxinus,1.146128036,1.638229625
40,4662,Leuciscus,leuciscus,1.602059991,2.853761594
100,4663,Monopterus,albus,2,3.395327709
150,4664,Hucho,hucho,2.176091259,4.25373649
16,4668,Liza,parsia,1.204119983,1.857010832
3,4669,Oryzias,latipes,0.477121255,0.033737149
17,4670,Umbra,krameri,1.230448921,1.919159164
82,4673,Labeobarbus,kimberleyensis,1.913813852,3.703500731
15,4675,Trichopodus,trichopterus,1.176091259,2.019000771
17,4676,Thorichthys,meeki,1.230448921,2.117405237
7,4677,Puntius,semifasciolatus,0.84509804,1.060838822
50,4678,Odontesthes,bonariensis,1.698970004,3.106223514
19,4679,Australoheros,facetus,1.278753601,2.321370243
10,4680,Poecilia,sphenops,1,1.430730514
6,4682,Gymnocorymbus,ternetzi,0.77815125,1.0787464
200,4683,Acipenser,baerii,2.301029996,4.537257133
55,4684,Parachromis,managuensis,1.740362689,3.426538821
6,4685,Phalloceros,caudimaculatus,0.77815125,0.825966956
50,4687,Coregonus,peled,1.698970004,3.19131297
19,4688,Astatoreochromis,alluaudi,1.278753601,2.230817693
11,4691,Pseudorasbora,parva,1.041392685,1.423885197
36,4692,Cichlasoma,trimaculatum,1.556302501,3.038613013
22,4693,Cichlasoma,salvini,1.342422681,2.467970545
25,4696,Perccottus,glenii,1.397940009,2.41519715
38,4698,Scatophagus,argus,1.579783597,3.186620523
41,4700,Valamugil,cunnesius,1.612783857,2.91587643
236,4712,Acipenser,gueldenstaedtii,2.372912003,4.736139269
8,4713,Edelia,vittata,0.903089987,1.232702257
14,4714,Puntius,conchonius,1.146128036,1.913747766
8,4717,Pterophyllum,scalare,0.903089987,1.525320957
24,4719,Tilapia,sparrmanii,1.380211242,2.529811188
20,4720,Neogobius,fluviatilis,1.301029996,2.086442117
150,4721,Bagrus,meridionalis,2.176091259,4.25465362
16,4727,Aequidens,pulcher,1.204119983,2.123544862
7,4728,Trichopsis,vittata,0.84509804,1.025092691
13,4729,Trichogaster,microlepis,1.113943352,1.874284876
25,4730,Alburnus,alburnus,1.397940009,2.358124638
28,4751,Geophagus,brasiliensis,1.447158031,2.684323085
47,4752,Hemibarbus,maculatus,1.672097858,3.071486975
23,4755,Hemiculter,leucisculus,1.361727836,2.311488989
9,4756,Aplocheilus,panchax,0.954242509,1.23393107
48,4757,Hoplias,malabaricus,1.681241237,3.032886257
2.2,4758,Tanichthys,albonubes,0.342422681,-0.299730458
20,4759,Serrasalmus,humeralis,1.301029996,2.381255695
12,4760,Devario,malabaricus,1.079181246,1.596996853
5,4762,Puntius,gelius,0.698970004,0.789995227
35,4765,Barbonymus,schwanenfeldii,1.544068044,2.974774613
6,4768,Betta,splendens,0.77815125,0.852436698
10,4769,Rivulus,hartii,1,1.311728868
13,4771,Rasbora,trilineata,1.113943352,1.666828031
18,4773,Poecilia,velifera,1.255272505,2.1189148
66,4775,Carpiodes,cyprinus,1.819543936,3.558375829
30,4776,Parachromis,motaguensis,1.477121255,2.746107739
7,4777,Macropodus,opercularis,0.84509804,1.093624488
7,4778,Austrolebias,bellottii,0.84509804,1.087177407
12,4782,Leucaspius,delineatus,1.079181246,1.531243699
100,4783,Aspius,aspius,2,3.958240198
10,4785,Pimephales,promelas,1,1.290532406
24,4786,Amphilophus,citrinellus,1.380211242,2.620839591
30,4790,Misgurnus,fossilis,1.477121255,2.382507899
104,4792,Salmo,ischchan,2.017033339,3.919691864
50,4793,Pterygoplichthys,multiradiatus,1.698970004,3.104472387
100,4797,Leptobarbus,hoevenii,2,3.948423197
39,4798,Cichlasoma,urophthalmus,1.591064607,3.053374867
93,4801,Lates,microlepis,1.968482949,3.88077267
70,4803,Hampala,macrolepidota,1.84509804,3.59607957
120,4805,Clarias,macrocephalus,2.079181246,4.006332978
16,4806,Ambassis,gymnocephalus,1.204119983,2.022192863
60,4816,Liza,macrolepis,1.77815125,3.381657422
100,4817,Valamugil,buchanani,2,3.987111332
50,4818,Labeobarbus,aeneus,1.698970004,3.151359758
40,4819,Liza,subviridis,1.602059991,2.884758063
70,4820,Chelon,planiceps,1.84509804,3.574655872
90,4830,Erpetoichthys,calabaricus,1.954242509,3.208331059
50,4833,Glossogobius,giuris,1.698970004,3.097042587
6,4834,Aphanius,fasciatus,0.77815125,0.816876195
16,4875,Alburnoides,bipunctatus,1.204119983,1.938354164
5,4876,Aphanius,iberus,0.698970004,0.691177593
15,4877,Salaria,fluviatilis,1.176091259,1.760081543
50,4878,Chondrostoma,nasus,1.698970004,3.178227046
150,4884,Rita,rita,2.176091259,4.421255532
30,4885,Heteropneustes,fossilis,1.477121255,2.469982287
13,4894,Acentrogobius,caninus,1.113943352,1.610043116
30,4899,Taenioides,cirratus,1.477121255,2.104775889
22,4901,Boleophthalmus,boddarti,1.342422681,2.088717181
20,4947,Parachela,oxygastroides,1.301029996,2.189791848
100,4949,Macrochirichthys,macrochirus,2,3.764032966
72,5020,Polypterus,bichir,1.857332496,3.27863121
50,5024,Polypterus,senegalus,1.698970004,2.905287883
13,5060,Odaxothrissa,mento,1.113943352,1.682117678
30,5065,Xenomystus,nigri,1.477121255,2.549881668
51,5075,Hyperopisus,bebe,1.707570176,3.15370232
33,5082,Marcusenius,cyprinoides,1.51851394,2.715346135
20,5084,Marcusenius,thomasi,1.301029996,2.186447964
26,5085,Marcusenius,mento,1.414973348,2.470717029
15,5125,Oligolepis,acutipennis,1.176091259,1.771812567
50,5129,Labeo,capensis,1.698970004,3.184622906
21,5137,Mystus,vittatus,1.322219295,2.15122602
13,5138,Engraulicypris,sardella,1.113943352,1.470684365
46,5139,Mystus,gulio,1.662757832,3.087845495
33,5143,Channa,orientalis,1.51851394,2.654584532
183,5144,Channa,marulius,2.26245109,4.394313218
8,5145,Exodon,paradoxus,0.903089987,1.218334326
40,5146,Liza,richardsonii,1.602059991,2.887560435
31,5147,Channa,punctata,1.491361694,2.517205156
90,5151,Labeo,calbasu,1.954242509,3.919675613
12,5169,Rasbora,argyrotaenia,1.079181246,1.608855922
30,5192,Channa,melasoma,1.477121255,2.496680599
12,5208,Brienomyrus,brachyistius,1.079181246,1.521095019
19,5226,Phractolaemus,ansorgii,1.278753601,1.951730223
86,5227,Hydrocynus,brevis,1.934498451,3.678362075
55,5229,Alestes,dentex,1.740362689,3.228218054
60,5230,Alestes,macrophthalmus,1.77815125,3.35315724
12,5234,Brycinus,longipinnis,1.079181246,1.681309098
25,5235,Brycinus,nurse,1.397940009,2.438358573
20,5238,Brycinus,imberi,1.301029996,2.275868556
53,5240,Brycinus,macrolepidotus,1.72427587,3.30018795
6,5243,Micralestes,elongatus,0.77815125,0.842180893
10,5247,Arnoldichthys,spilopterus,1,1.442718232
16,5250,Phago,loricatus,1.204119983,1.680467769
40,5254,Distichodus,engycephalus,1.602059991,3.046788712
59,5255,Distichodus,brevipinnis,1.770852012,3.503131855
6,5261,Nannaethiops,unitaeniatus,0.77815125,0.858716893
3,5262,Neolebias,ansorgii,0.477121255,0.109276955
84,5268,Citharinus,latus,1.924279286,3.977868548
58,5269,Citharinus,citharus,1.763427994,3.554988254
6,5270,Chelaethiops,bibie,0.77815125,0.748679805
11,5286,Garra,dembeensis,1.041392685,1.408279243
2,5287,Barboides,gracilis,0.301029996,-0.537228575
40,5305,Hoplerythrinus,unitaeniatus,1.602059991,2.864997627
2,5310,Barbus,sylvaticus,0.301029996,-0.366248508
10,5313,Barbus,liberiensis,1,1.424543421
150,5319,Synbranchus,marmoratus,2.176091259,3.716046857
6,5327,Barbus,parablabes,0.77815125,0.818569652
70,5337,Monopterus,cuchia,1.84509804,2.986020155
30,5352,Leporinus,fasciatus,1.477121255,2.576644992
60,5355,Alosa,fallax,1.77815125,3.357639012
41,5358,Serranochromis,angusticeps,1.612783857,3.069110666
35,5359,Serranochromis,macrocephalus,1.544068044,2.9342358
48,5363,Sargochromis,giardi,1.681241237,3.307709648
22,5365,Pharyngochromis,darlingi,1.342422681,2.347870157
65,5376,Oxyeleotris,marmorata,1.812913357,3.400239998
24,5377,Hoplosternum,littorale,1.380211242,2.400579294
15,5378,Neochanna,burrowsius,1.176091259,1.57369735
19,5384,Synodontis,njassae,1.278753601,2.104622127
75,5386,Mormyrus,longirostris,1.875061263,3.502273659
32,5405,Marcusenius,macrolepidotus,1.505149978,2.71227207
31,5407,Cyphomyrus,discorhynchus,1.491361694,2.712950905
40,5409,Labeo,cylindricus,1.602059991,2.906944881
39,5411,Labeo,mesops,1.591064607,2.92427213
35,5412,Labeobarbus,litamba,1.544068044,2.789700526
32,5416,Labeobarbus,johnstonii,1.505149978,2.657149639
15,5417,Barbus,trimaculatus,1.176091259,1.840553898
150,5422,Probarbus,jullieni,2.176091259,4.457869225
25,5424,Barbus,meridionalis,1.397940009,2.357672487
65,5427,Hemibagrus,nemurus,1.812913357,3.310423455
112,5462,Bagrus,bajad,2.049218023,3.993346651
80,5463,Clarotes,laticeps,1.903089987,3.674067893
54,5464,Auchenoglanis,biscutatus,1.73239376,3.19384154
43,5466,Tetraodon,lineatus,1.633468456,3.158887586
50,5467,Parachanna,obscura,1.698970004,3.014423513
50,5469,Synodontis,batensoda,1.698970004,3.31805666
49,5470,Synodontis,ocellifer,1.69019608,3.238942955
40,5473,Alburnus,chalcoides,1.602059991,2.888705327
28,5491,Prochilodus,reticulatus,1.447158031,2.626841505
15,5493,Rasbora,daniconius,1.176091259,1.837225136
180,5496,Sperata,aor,2.255272505,4.414364438
90,5526,Acanthopagrus,berda,1.954242509,4.0404833
30,5655,Liza,melinoptera,1.477121255,2.606314735
63,5656,Liza,vaigiensis,1.799340549,3.437942535
60,5659,Moolgarda,seheli,1.77815125,3.384641036
27,5807,Monodactylus,argenteus,1.431363764,2.852235729
88,5808,Piaractus,brachypomus,1.944482672,4.031070787
10,5982,Ambassis,kopsii,1,1.578383591
65,6008,Boulengerochromis,microlepis,1.812913357,3.486909571
300,6085,Acipenser,schrenckii,2.477121255,4.896129796
120,6086,Chitala,blanci,2.079181246,4.182328579
35,6089,Balantiocheilos,melanopterus,1.544068044,2.770551698
8,6091,Barbus,calidus,0.903089987,1.063172668
10,6092,Barbus,erubescens,1,1.290101611
50,6095,Barbus,serra,1.698970004,3.112585789
108,6098,Barbus,treurensis,2.033423755,4.038012371
12,6138,Pseudobarbus,burgi,1.079181246,1.611481134
13,6140,Pseudobarbus,quathlambae,1.113943352,1.607995067
5,6165,Schistura,oedipus,0.698970004,0.499588987
13,6189,Austroglanis,gilli,1.113943352,1.563776876
300,6192,Pangasianodon,gigas,2.477121255,5.134266892
300,6193,Pangasius,sanitwongsei,2.477121255,5.209075896
4,6195,Horaglanis,krishnai,0.602059991,0.088485712
33,6199,Prototroctes,maraena,1.51851394,2.664556571
14,6201,Galaxias,fontanus,1.146128036,1.607883317
14,6202,Galaxias,johnstoni,1.146128036,1.554171839
10,6203,Galaxias,parvus,1,1.27607602
16,6204,Galaxias,pedderensis,1.204119983,1.768304781
6,6233,Characodon,lateralis,0.77815125,0.933288924
120,6234,Osteoglossum,bicirrhosum,2.079181246,4.049672988
5,6242,Skiffia,francesae,0.698970004,0.749676509
6,6243,Xenoophorus,captivus,0.77815125,0.892112006
8,6284,Valencia,hispanica,0.903089987,1.162950158
85,6308,Maccullochella,macquariensis,1.929418926,3.827800402
11,6315,Romanichthys,valsanicola,1.041392685,1.407922434
22,6316,Zingel,asper,1.342422681,2.09976556
18,6320,Herichthys,minckleyi,1.255272505,2.139972379
45,6334,Myxus,capensis,1.653212514,3.007830767
12,6345,Padogobius,nigricans,1.079181246,1.472431288
4,6346,Redigobius,dewaali,0.602059991,0.321305941
90,6357,Scleropages,formosus,1.954242509,3.848235298
15,6361,Oxyzygonectes,dovii,1.176091259,1.757208038
75,6366,Plectorhinchus,gibbosus,1.875061263,3.807099361
35,6374,Ballerus,ballerus,1.544068044,2.867668741
50,6375,Vimba,vimba,1.698970004,3.147902126
21,6377,Barbatula,barbatula,1.322219295,2.007574962
30,6385,Notesthes,robusta,1.477121255,2.791596752
104,6410,Pseudoplatystoma,fasciatum,2.017033339,3.893472562
120,6415,Elops,hawaiensis,2.079181246,3.940487938
117,6419,Hydrolycus,scomberoides,2.068185862,4.158288349
360,6420,Brachyplatystoma,filamentosum,2.556302501,5.244051884
134,6421,Phractocephalus,hemioliopterus,2.127104798,4.218883166
76,6423,Salmo,letnica,1.880813592,3.674610008
170,6427,Polydactylus,macrochir,2.230448921,4.439978945
54,6432,Hephaestus,fuliginosus,1.73239376,3.379903847
99,6461,Cichla,temensis,1.995635195,3.940046988
25,6462,Telestes,souffia,1.397940009,2.313587888
30,6464,Mesopristes,argenteus,1.477121255,2.801250952
30,6499,Gymnocephalus,schraetser,1.477121255,2.535444867
50,6500,Zingel,zingel,1.698970004,3.05291924
22,6501,Zingel,streber,1.342422681,1.994109202
10,6511,Retropinna,semoni,1,1.235494578
127,6519,Bagrus,docmak,2.103803721,4.136011675
45,6535,Ompok,bimaculatus,1.653212514,3.02670694
130,6566,Silurus,asotus,2.113943352,4.144629677
25,6581,Rhynchopelates,oxyrhynchus,1.397940009,2.489852688
38,6610,Chelonodon,patoca,1.579783597,2.974523546
13,6676,Haplochromis,acidens,1.113943352,1.828527878
12,6679,Haplochromis,aelocephalus,1.079181246,1.690617242
8,6680,Haplochromis,aeneocolor,0.903089987,1.304631568
14,6687,Haplochromis,arcanus,1.146128036,1.837599232
11,6693,Haplochromis,barbarae,1.041392685,1.619339864
20,6694,Haplochromis,bartoni,1.301029996,2.264518449
22,6697,Ctenochromis,benthicola,1.342422681,2.397881434
10,6702,Haplochromis,brownae,1,1.56837993
15,6704,Astatotilapia,burtoni,1.176091259,1.994895149
15,6707,Astatotilapia,calliptera,1.176091259,1.939984223
10,6708,Haplochromis,cassius,1,1.48539578
15,6710,Haplochromis,chilotes,1.176091259,1.948164719
12,6711,Haplochromis,chlorochrous,1.079181246,1.693608277
11,6712,Haplochromis,chromogynos,1.041392685,1.629029588
9,6713,Haplochromis,cinctus,0.954242509,1.389386749
10,6718,Haplochromis,crocopeplus,1,1.506379124
9,6721,Haplochromis,cryptogramma,0.954242509,1.348744626
16,6724,Haplochromis,dentex,1.204119983,1.951049442
12,6729,Haplochromis,dolichorhynchus,1.079181246,1.654504492
12,6731,Haplochromis,empodisma,1.079181246,1.730168278
8,6733,Haplochromis,erythrocephalus,0.903089987,1.246796027
11,6741,Haplochromis,fusiformis,1.041392685,1.501920644
15,6743,Haplochromis,gilberti,1.176091259,1.904026203
14,6754,Haplochromis,ishmaeli,1.146128036,1.901599604
8,6759,Haplochromis,laparogramma,0.903089987,1.172018956
8,6761,Haplochromis,limax,0.903089987,1.217837288
8,6771,Haplochromis,macropsoides,0.903089987,1.270950349
8,6779,Haplochromis,megalops,0.903089987,1.207020193
13,6780,Haplochromis,melanopterus,1.113943352,1.792500836
11,6782,Haplochromis,melichrous,1.041392685,1.618684435
14,6790,Haplochromis,mylergates,1.146128036,1.936910524
8,6792,Haplochromis,nanoserranus,0.903089987,1.238183338
9,6794,Haplochromis,nigricans,0.954242509,1.420868093
9,6797,Haplochromis,nubilus,0.954242509,1.455772924
11,6798,Haplochromis,nuchisquamulatus,1.041392685,1.639392079
8,6800,Haplochromis,nyererei,0.903089987,1.269457073
9,6802,Haplochromis,obliquidens,0.954242509,1.391011135
16,6813,Haplochromis,paraguiarti,1.204119983,2.026642288
9,6815,Haplochromis,paropius,0.954242509,1.338615414
16,6817,Haplochromis,parvidens,1.204119983,2.040466951
9,6823,Haplochromis,petronius,0.954242509,1.420453185
9,6826,Haplochromis,phytophagus,0.954242509,1.384499173
9,6827,Haplochromis,piceatus,0.954242509,1.340638106
10,6832,Haplochromis,plutonius,1,1.442128446
15,6837,Haplochromis,pseudopellegrini,1.176091259,1.861716585
10,6841,Haplochromis,riponianus,1,1.509895561
12,6844,Haplochromis,saxicola,1.079181246,1.722829416
8,6847,Haplochromis,schubotziellus,0.903089987,1.259462354
11,6851,Haplochromis,simpsoni,1.041392685,1.638290581
11,6857,Haplochromis,sulphureus,1.041392685,1.542437328
10,6860,Haplochromis,teegelaari,1,1.55825479
9,6866,Haplochromis,turkanae,0.954242509,1.34914255
10,6868,Haplochromis,tyrianthinus,1,1.467803352
18,6870,Haplochromis,venator,1.255272505,2.154722417
11,6877,Haplochromis,xenognathus,1.041392685,1.535175087
15,6890,Haplochromis,degeni,1.176091259,1.970367145
13,6891,Pseudocrenilabrus,philander,1.113943352,1.796819505
8,6894,Pseudocrenilabrus,multicolor,0.903089987,1.271669041
28,7325,Parachromis,friedrichsthalii,1.447158031,2.699028553
125,7326,Atractosteus,tropicus,2.096910013,3.950236517
9,7328,Apocryptodon,madurensis,0.954242509,1.032390119
30,7379,Anableps,anableps,1.477121255,2.406100639
19,7480,Periophthalmus,argentilineatus,1.278753601,1.990653564
30,7499,Colomesus,psittacus,1.477121255,2.72964373
110,7511,Anguilla,obscura,2.041392685,3.561120166
200,7512,Anguilla,reinhardtii,2.301029996,4.429254689
100,7536,Scleropages,jardinii,2,3.920355096
100,7537,Scleropages,leichardti,2,3.913174536
24,7543,Galaxias,auratus,1.380211242,2.257670258
28,7544,Galaxias,brevipinnis,1.447158031,2.412533372
150,7555,Brachyplatystoma,vaillantii,2.176091259,4.30007211
35,7556,Pimelodus,blochii,1.544068044,2.792456337
15,7571,Barbus,paludinosus,1.176091259,1.853230381
12,7576,Neochanna,cleaveri,1.079181246,1.393668698
50,7577,Labeo,umbratus,1.698970004,3.228384667
21,7623,Microphis,fluviatilis,1.322219295,1.5285442
45,7715,Kuhlia,rupestris,1.653212514,3.185788847
49,7738,Labeo,altivelis,1.69019608,3.23081329
43,7743,Synodontis,zambezensis,1.633468456,3.008712314
20,7756,Channa,asiatica,1.301029996,1.985856729
20,7762,Zacco,platypus,1.301029996,2.128752137
17,7763,Tetraodon,nigroviridis,1.230448921,2.149363449
8,7777,Corydoras,aeneus,0.903089987,1.286129807
11,7778,Pelvicachromis,pulcher,1.041392685,1.565090275
75,7861,Liza,alata,1.875061263,3.577677948
30,7864,Valamugil,robustus,1.477121255,2.605380908
30,7915,Scatophagus,tetracanthus,1.477121255,2.924128818
11,7953,Simochromis,babaulti,1.041392685,1.576051032
60,7990,Notopterus,notopterus,1.77815125,3.411643448
40,7992,Amblyrhynchichthys,truncatus,1.602059991,2.995026093
9,8016,Ambassis,natalensis,0.954242509,1.375547437
26,8034,Eleotris,fusca,1.414973348,2.346564148
15,8035,Butis,butis,1.176091259,1.72585069
11,8036,Butis,koilomatodon,1.041392685,1.455347148
100,8055,Pisodonophis,boro,2,3.263352837
40,8079,Toxotes,chatareus,1.602059991,3.151576829
10,8080,Astyanax,fasciatus,1,1.456161777
100,8117,Osteoglossum,ferreirai,2,3.817861059
12,8135,Altolamprologus,compressiceps,1.079181246,1.729686051
40,8140,Bathybates,fasciatus,1.602059991,2.843467876
38,8141,Bathybates,ferox,1.579783597,2.842214064
30,8142,Bathybates,graueri,1.477121255,2.60399665
27,8143,Bathybates,hornii,1.431363764,2.433747107
26,8144,Bathybates,leo,1.414973348,2.389120609
20,8145,Bathybates,minor,1.301029996,2.140711399
42,8146,Bathybates,vittatus,1.62324929,2.910367715
18,8147,Benthochromis,melanoides,1.255272505,2.056088181
16,8148,Benthochromis,tricoti,1.204119983,1.905830041
15,8149,Callochromis,melanostigma,1.176091259,1.910888585
10,8151,Callochromis,pleurospilus,1,1.42705891
15,8153,Cardiopharynx,schoutedeni,1.176091259,1.838276843
12,8154,Chalinochromis,brichardi,1.079181246,1.554421128
15,8155,Chalinochromis,popelini,1.176091259,1.802949574
15,8164,Copadichromis,azureus,1.176091259,1.966539016
150,8167,Plotosus,canius,2.176091259,4.194944596
20,8171,Barbonymus,altus,1.301029996,2.36036301
14,8172,Odontesthes,regia,1.146128036,1.593350823
3,8195,Paracheirodon,axelrodi,0.477121255,0.077658866
30,8229,Toxotes,jaculatrix,1.477121255,2.774280467
25,8250,Glossogobius,aureus,1.397940009,2.2885944
31,8262,Hyporhamphus,quoyi,1.491361694,2.420052202
60,8309,Nibea,soldado,1.77815125,3.428835868
25,8313,Hyporhamphus,limbatus,1.397940009,2.20292058
23,8318,Polynemus,paradiseus,1.361727836,2.252349629
35,8320,Valamugil,speigleri,1.544068044,2.75851711
15,8337,Cyathochromis,obliquidens,1.176091259,1.946750972
16,8344,Pseudotropheus,williamsi,1.204119983,2.033752046
11,8349,Iodotropheus,sprengerae,1.041392685,1.591322054
14,8361,Copadichromis,mbenjii,1.146128036,1.89959107
8,8362,Aplocheilichthys,johnstoni,0.903089987,1.103339253
12,8363,Barbus,radiatus,1.079181246,1.602135587
8,8364,Barbus,innocens,0.903089987,1.098691052
79,8367,Bathyclarias,filicibarbis,1.897627091,3.500541526
100,8374,Bathyclarias,nyasensis,2,3.733514898
80,8376,Bathyclarias,worthingtoni,1.903089987,3.547357874
6,8377,Chiloglanis,neumanni,0.77815125,0.67049102
26,8378,Mastacembelus,shiranus,1.414973348,2.018776416
15,8380,Petrocephalus,catostoma,1.176091259,1.922671497
12,8381,Amphilius,natalensis,1.079181246,1.415146148
4,8384,Aplocheilichthys,katangae,0.602059991,0.376892045
4,8388,Barbus,toppini,0.602059991,0.440030015
25,8415,Tropidophoxinellus,alburnoides,1.397940009,2.351238188
70,8416,Rutilus,frisii,1.84509804,3.552646935
45,8418,Rutilus,pigus,1.653212514,3.078705382
15,8419,Cottus,poecilopus,1.176091259,1.735664411
21,8570,Cyathopharynx,furcifer,1.322219295,2.330031855
33,8572,Cyphotilapia,frontosa,1.51851394,2.890483668
11,8573,Cyprichromis,leptosoma,1.041392685,1.490348045
11,8574,Cyprichromis,microlepidotus,1.041392685,1.505570205
10,8575,Ectodus,descampsii,1,1.408678787
9,8577,Eretmodus,cyanostictus,0.954242509,1.393631588
14,8579,Gnathochromis,pfefferi,1.146128036,1.870033004
7,8580,Gobiocichla,ethelwynnae,0.84509804,0.807104467
6,8581,Gobiocichla,wonderi,0.77815125,0.6993584
26,8582,Grammatotria,lemairii,1.414973348,2.444550632
26,8597,Haplotaxodon,microlepis,1.414973348,2.481882137
12,8600,Barbus,anoplus,1.079181246,1.599881774
12,8603,Hemichromis,letourneuxi,1.079181246,1.702447028
11,8607,Julidochromis,dickfeldi,1.041392685,1.455916942
13,8608,Julidochromis,marlieri,1.113943352,1.653130708
8,8609,Julidochromis,ornatus,0.903089987,1.106624816
7,8611,Julidochromis,transcriptus,0.84509804,0.965915864
25,8615,Lamprologus,lemairii,1.397940009,2.491529349
6,8621,Lamprologus,signatus,0.77815125,0.840598485
15,8626,Lepidiolamprologus,attenuatus,1.176091259,1.762342715
29,8627,Lepidiolamprologus,cunningtoni,1.462397998,2.533661773
32,8628,Lepidiolamprologus,elongatus,1.505149978,2.734951285
16,8629,Lepidiolamprologus,kendalli,1.204119983,1.90687686
30,8631,Lepidiolamprologus,profundicola,1.477121255,2.659371891
12,8633,Lestradea,stappersii,1.079181246,1.594951949
6,8651,Neolamprologus,brevis,0.77815125,0.867489414
9,8652,Neolamprologus,brichardi,0.954242509,1.342978286
6,8654,Neolamprologus,caudopunctatus,0.77815125,0.882126664
14,8655,Neolamprologus,christyi,1.146128036,1.751894361
10,8657,Neolamprologus,cylindricus,1,1.397658991
15,8665,Neolamprologus,furcifer,1.176091259,1.868593889
166,8674,Pseudoplatystoma,corruscans,2.220108088,4.411905895
200,8681,Hucho,taimen,2.301029996,4.557628745
120,8688,Pinirampus,pirinampu,2.079181246,4.094242669
130,8695,Pseudoplatystoma,tigrinum,2.113943352,4.073915832
69,8697,Rhaphiodon,vulpinus,1.838849091,3.421045059
59,8699,Brycon,guatemalensis,1.770852012,3.414778949
28,8700,Pygocentrus,cariba,1.447158031,2.764519407
20,8701,Channa,maculata,1.301029996,2.049390298
8,8703,Etroplus,maculatus,0.903089987,1.386024952
60,8705,Schizothorax,richardsonii,1.77815125,3.235299902
38,8708,Synodontis,nigromaculata,1.579783597,2.880663908
250,8737,Acipenser,dabryanus,2.397940009,4.735003548
12,8741,Neolamprologus,modestus,1.079181246,1.645671775
4,8744,Neolamprologus,multifasciatus,0.602059991,0.431011181
9,8745,Neolamprologus,mustax,0.954242509,1.375794499
9,8746,Neolamprologus,niger,0.954242509,1.375530868
14,8749,Neolamprologus,petricola,1.146128036,1.841863127
8,8753,Neolamprologus,savoryi,0.903089987,1.269250264
20,8757,Neolamprologus,tetracanthus,1.301029996,2.217611805
6,8760,Neolamprologus,wauthioni,0.77815125,0.889239024
400,8762,Acipenser,sinensis,2.602059991,5.200913771
150,8765,Chitala,lopis,2.176091259,4.503412728
15,8766,Hippopotamyrus,ansorgii,1.176091259,1.862095317
100,8767,Mormyrus,kannume,2,3.853568797
50,8768,Mormyrus,lacerda,1.698970004,3.126159015
7,8769,Pollimyrus,castelnaui,0.84509804,1.042125543
15,8774,Ophthalmotilapia,boops,1.176091259,1.94850301
11,8781,Paracyprichromis,brieni,1.041392685,1.441061724
11,8782,Paracyprichromis,nigripinnis,1.041392685,1.451146529
16,8800,Perissodus,eccentricus,1.204119983,1.934307737
11,8801,Perissodus,microlepis,1.041392685,1.527041129
15,8802,Petrochromis,famula,1.176091259,1.972148235
15,8803,Petrochromis,fasciolatus,1.176091259,1.932577775
16,8804,Petrochromis,macrognathus,1.204119983,2.005233078
21,8806,Petrochromis,polyodon,1.322219295,2.410968175
18,8807,Petrochromis,trewavasae,1.255272505,2.174956352
17,8811,Vandellia,cirrhosa,1.230448921,1.540966222
32,8812,Plecodus,elaviae,1.505149978,2.672898418
12,8813,Plecodus,multidentatus,1.079181246,1.576770884
30,8814,Plecodus,paradoxus,1.477121255,2.637164022
16,8815,Plecodus,straeleni,1.204119983,2.036003438
85,8817,Strongylura,krefftii,1.929418926,3.400040424
14,8819,Pseudosimochromis,curvifrons,1.146128036,1.901871975
15,8823,Reganochromis,calliurus,1.176091259,1.747819871
8,8862,Spathodus,erythrodon,0.903089987,1.203622341
8,8874,Tangachromis,dhanisi,0.903089987,1.175592792
7,8875,Tanganicodus,irsacae,0.84509804,1.089766938
12,8886,Telmatochromis,dhonti,1.079181246,1.642471582
10,8888,Telmatochromis,temporalis,1,1.426181485
10,8930,Tilapia,ruweti,1,1.519183683
12,8970,Triglachromis,otostigma,1.079181246,1.636968603
26,9126,Tylochromis,lateralis,1.414973348,2.561443624
44,9135,Tylochromis,polylepis,1.643452676,3.180882374
26,9145,Tylochromis,sudanensis,1.414973348,2.597153541
30,9163,Xenochromis,hecqui,1.477121255,2.683857966
10,9164,Xenotilapia,bathyphila,1,1.376946041
15,9165,Xenotilapia,boulengeri,1.176091259,1.861688174
