length,sp_code,genus,species,log_length,body_mass_predicted
9,2188,Aulonocara,saulosi,0.954242509,1.37094728
9,2189,Aulonocara,steveni,0.954242509,1.372345497
12,2190,Aulonocara,stuartgranti,1.079181246,1.682411355
13,2191,Alticorpus,macrocleithrum,1.113943352,1.831864926
15,2194,Alticorpus,peterdaviesi,1.176091259,1.955342825
16,2196,Nyassachromis,leuciscus,1.204119983,1.980932095
24,2197,Otopharynx,auromarginatus,1.380211242,2.48357892
20,2199,Otopharynx,ovatus,1.301029996,2.263315757
16,2200,Otopharynx,tetrastigma,1.204119983,2.034983299
15,2201,Otopharynx,brooksi,1.176091259,1.937061832
16,2202,Otopharynx,lithobates,1.204119983,1.995467351
25,2203,Otopharynx,speciosus,1.397940009,2.513149662
18,2204,Otopharynx,decorus,1.255272505,2.132277614
15,2205,Otopharynx,argyrosoma,1.176091259,1.923077519
18,2206,Otopharynx,selenurus,1.255272505,2.177442577
16,2207,Otopharynx,tetraspilus,1.204119983,2.020856177
25,2209,Stigmatochromis,woodi,1.397940009,2.445781406
25,2210,Stigmatochromis,modestus,1.397940009,2.49293804
14,2212,Ctenopharynx,nitidus,1.146128036,1.838387153
21,2213,Ctenopharynx,intermedius,1.322219295,2.316591414
13,2214,Ctenopharynx,pictus,1.113943352,1.789032268
20,2215,Exochochromis,anagenys,1.301029996,2.176855012
25,2217,Trematocranus,placodon,1.397940009,2.563862726
22,2218,Trematocranus,labifer,1.342422681,2.371238425
20,2219,Hemitilapia,oxyrhyncha,1.301029996,2.282803286
18,2220,Naevochromis,chrysogaster,1.255272505,2.181379235
21,2222,Mylochromis,ericotaenia,1.322219295,2.305326071
20,2227,Mylochromis,epichorialis,1.301029996,2.297593538
21,2229,Mylochromis,lateristriga,1.322219295,2.280227881
18,2233,Mylochromis,mola,1.255272505,2.150715379
13,2237,Mylochromis,formosus,1.113943352,1.702089553
26,2238,Mylochromis,melanonotus,1.414973348,2.555671155
22,2240,Mylochromis,gracilis,1.342422681,2.319142336
42,2243,Buccochromis,lepturus,1.62324929,3.012315065
34,2244,Buccochromis,rhoadesii,1.531478917,2.808425647
40,2245,Buccochromis,heterotaenia,1.602059991,2.98599543
28,2246,Buccochromis,atritaeniatus,1.447158031,2.644667796
32,2249,Champsochromis,caeruleus,1.505149978,2.65583428
